,Company,Industry,Entrepreneur Gender,ASK_Amount,ASK_Equity,ASK_Valuation,Barbara  Corcoran,Mark  Cuban,Lori Greiner,Robert Herjavec,Daymond John,Kevin O'Leary,Guest,# Sharks,$ per shark,Deal_No,Deal_Yes
297,DoorBot,Lifestyle / Home,Male,"$700,000",10.00%,"$7,000,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
298,Magic Moments,Software / Tech,Male,"$500,000",15.00%,"$3,333,333",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
299,Grace & Lace Knitted Boot Socks,Fashion / Beauty,Mixed Team,"$175,000",10.00%,"$1,750,000",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"$175,000",0,1
300,Yubo Customized Lunch Boxes,Children / Education,Mixed Team,"$150,000",15.00%,"$1,000,000",0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,"$75,000",0,1
301,PurseCase,Fashion / Beauty,Female,"$55,000",12.00%,"$458,333",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"$55,000",0,1
302,Chocomize Chocolate Bars,Food and Beverage,Male,"$500,000",20.00%,"$2,500,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
303,De-Boned Baby Back Rib Steak,Food and Beverage,Mixed Team,"$300,000",15.00%,"$2,000,000",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"$300,000",0,1
304,SpiritHoods,Fashion / Beauty,Mixed Team,"$450,000",15.00%,"$3,000,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
305,FoHawx,Fitness / Sports / Outdoors,Female,"$150,000",30.00%,"$500,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
306,Virtuix Omni,Software / Tech,Male,"$2,000,000",10.00%,"$20,000,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
307,Tipsy Elves,Fashion / Beauty,Male,"$100,000",5.00%,"$2,000,000",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,"$100,000",0,1
308,One Life Products,Lifestyle / Home,Male,"$50,000",15.00%,"$333,333",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"$50,000",0,1
309,Cashmere Hair,Fashion / Beauty,Female,"$45,000",15.00%,"$300,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
310,Lite-Netics,Lifestyle / Home,Male,"$125,000",20.00%,"$625,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
311,GrooveBook,Software / Tech,Mixed Team,"$150,000",20.00%,"$750,000",0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,"$75,000",0,1
312,The Wall DoctoRX,Lifestyle / Home,Male,"$150,000",10.00%,"$1,500,000",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,"$150,000",0,1
313,Bounce Boot Camp,Children / Education,Male,"$30,000",20.00%,"$150,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
314,EyeBloc,Software / Tech,Male,"$50,000",10.00%,"$500,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
315,LockerBones,Children / Education,Male,"$175,000",10.00%,"$1,750,000",0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,"$87,500",0,1
316,InvisiPlug,Software / Tech,Male,"$125,000",10.00%,"$1,250,000",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,"$125,000",0,1
317,Balloon Distractions,Children / Education,Male,"$250,000",30.00%,"$833,333",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
318,Alaska Glacial Mud Co.,Fashion / Beauty,Female,"$100,000",20.00%,"$500,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
319,SwimZip,Children / Education,Mixed Team,"$60,000",5.00%,"$1,200,000",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,"$60,000",0,1
320,Freshly Picked,Children / Education,Female,"$150,000",10.00%,"$1,500,000",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"$150,000",0,1
321,FitDeck,Fitness / Sports / Outdoors,Male,"$300,000",20.00%,"$1,500,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
322,LifeCaps,Health / Wellness,Male,"$200,000",30.00%,"$666,667",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
323,The Cookie Dough Cafe,Food and Beverage,Female,"$50,000",20.00%,"$250,000",0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,"$50,000",0,1
324,Cycloramic,Software / Tech,Male,"$90,000",5.00%,"$1,800,000",0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,"$250,000",0,1
325,Nexersys,Fitness / Sports / Outdoors,Male,"$2,000,000",10.00%,"$20,000,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
326,Cow Wow Cereal Milk,Food and Beverage,Mixed Team,"$250,000",10.00%,"$2,500,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
327,Spy Escape and Evasion,Children / Education,Male,"$100,000",15.00%,"$666,667",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"$150,000",0,1
328,Southern Culture Artisan Foods,Food and Beverage,Female,"$100,000",25.00%,"$400,000",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"$100,000",0,1
329,DDP Yoga,Fitness / Sports / Outdoors,Male,"$200,000",5.00%,"$4,000,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
330,Moberi,Food and Beverage,Male,"$50,000",15.00%,"$333,333",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
331,Bambooee,Lifestyle / Home,Mixed Team,"$200,000",10.00%,"$2,000,000",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,"$200,000",0,1
332,Buzzy4Shots,Health / Wellness,Female,"$500,000",5.00%,"$10,000,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
333,ZipIt,Lifestyle / Home,Female,"$75,000",20.00%,"$375,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
334,Cheek'd,Software / Tech,Female,"$100,000",10.00%,"$1,000,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
335,U-Lace,Fashion / Beauty,Male,"$200,000",25.00%,"$800,000",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,"$200,000",0,1
336,RevoLights,Fitness / Sports / Outdoors,Male,"$150,000",10.00%,"$1,500,000",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,"$300,000",0,1
337,Squeeky Knees,Children / Education,Mixed Team,"$80,000",20.00%,"$400,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
338,The Buffer Bit,Fashion / Beauty,Male,"$75,000",25.00%,"$300,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
339,Henry's Humdingers,Food and Beverage,Male,"$150,000",25.00%,"$600,000",0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,"$150,000",0,1
340,Boo Boo Goo,Health / Wellness,Mixed Team,"$100,000",17.50%,"$571,429",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"$100,000",0,1
341,Iretron,Software / Tech,Male,"$100,000",20.00%,"$500,000",1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,"$50,000",0,1
342,Define Bottle,Food and Beverage,Male,"$100,000",20.00%,"$500,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
343,Packback Books,Children / Education,Mixed Team,"$200,000",10.00%,"$2,000,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
344,Chapul,Food and Beverage,Male,"$50,000",5.00%,"$1,000,000",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,"$50,000",0,1
345,Garage Door Lock,Lifestyle / Home,Male,"$275,000",30.00%,"$916,667",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"$275,000",0,1
346,MorningHead,Lifestyle / Home,Male,"$25,000",20.00%,"$125,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
347,Plated,Food and Beverage,Male,"$500,000",4.00%,"$12,500,000",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,"$500,000",0,1
348,Monkey Mat,Lifestyle / Home,Female,"$100,000",30.00%,"$333,333",0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,"$50,000",0,1
349,The Paint Brush Cover,Lifestyle / Home,Male,"$50,000",10.00%,"$500,000",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,"$100,000",0,1
350,Kodiak Cakes,Food and Beverage,Male,"$500,000",10.00%,"$5,000,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
351,Velocity Signs,Business Services,Male,"$225,000",15.00%,"$1,500,000",0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,"$75,000",0,1
352,Happy Feet,Fashion / Beauty,Male,"$375,000",15.00%,"$2,500,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,0,1
353,Hold Your Haunches,Fashion / Beauty,Female,"$75,000",20.00%,"$375,000",1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,"$50,000",0,1
354,Lord Nut Levington,Food and Beverage,Male,"$500,000",30.00%,"$1,666,667",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
355,Fun Time Express,Children / Education,Male,"$125,000",20.00%,"$625,000",0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,"$62,500",0,1
356,PowerPot,Food and Beverage,Male,"$250,000",10.00%,"$2,500,000",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,"$250,000",0,1
357,Quickstop Fire Sprinkler Tools,Lifestyle / Home,Male,"$150,000",10.00%,"$1,500,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
358,Taylor Robinson Music,Software / Tech,Male,"$100,000",10.00%,"$1,000,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
359,ZooBean,Children / Education,Mixed Team,"$250,000",15.00%,"$1,666,667",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,"$250,000",0,1
360,iLumi,Lifestyle / Home,Male,"$350,000",15.00%,"$2,333,333",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
361,Fort Magic,Children / Education,Female,"$75,000",15.00%,"$500,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
362,Intelli-Stopper Technology,Food and Beverage,Male,"$250,000",10.00%,"$2,500,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
